{'loss': 0.9018, 'grad_norm': 0.11410484462976456, 'learning_rate': 1.975367879651728e-05, 'epoch': 0.33}
{'loss': 0.8851, 'grad_norm': 0.15817168354988098, 'learning_rate': 1.9749279121818235e-05, 'epoch': 0.33}
{'loss': 0.8767, 'grad_norm': 0.15277749300003052, 'learning_rate': 1.9744841000412122e-05, 'epoch': 0.33}
{'loss': 0.8926, 'grad_norm': 0.1160159781575203, 'learning_rate': 1.974036444980086e-05, 'epoch': 0.33}
{'loss': 0.8933, 'grad_norm': 0.15413369238376617, 'learning_rate': 1.9735849487637927e-05, 'epoch': 0.33}
{'loss': 0.8746, 'grad_norm': 0.17936421930789948, 'learning_rate': 1.973129613172827e-05, 'epoch': 0.33}
{'loss': 0.8874, 'grad_norm': 0.15675197541713715, 'learning_rate': 1.972670440002825e-05, 'epoch': 0.34}
{'loss': 0.8879, 'grad_norm': 0.11227681487798691, 'learning_rate': 1.9722074310645553e-05, 'epoch': 0.34}
{'loss': 0.8862, 'grad_norm': 0.1870225965976715, 'learning_rate': 1.9717405881839146e-05, 'epoch': 0.34}
{'loss': 0.8694, 'grad_norm': 0.15271495282649994, 'learning_rate': 1.971269913201918e-05, 'epoch': 0.34}
{'loss': 0.877, 'grad_norm': 0.14138449728488922, 'learning_rate': 1.9707954079746928e-05, 'epoch': 0.34}
{'loss': 0.8823, 'grad_norm': 0.12425167113542557, 'learning_rate': 1.9703170743734707e-05, 'epoch': 0.34}
{'loss': 0.894, 'grad_norm': 0.15404115617275238, 'learning_rate': 1.9698349142845813e-05, 'epoch': 0.34}
{'loss': 0.8961, 'grad_norm': 0.1502527892589569, 'learning_rate': 1.9693489296094445e-05, 'epoch': 0.34}
{'loss': 0.8803, 'grad_norm': 0.12074067443609238, 'learning_rate': 1.9688591222645607e-05, 'epoch': 0.34}
{'loss': 0.8887, 'grad_norm': 0.12714949250221252, 'learning_rate': 1.9683654941815077e-05, 'epoch': 0.35}
{'loss': 0.8825, 'grad_norm': 0.13664816319942474, 'learning_rate': 1.9678680473069294e-05, 'epoch': 0.35}
{'loss': 0.8747, 'grad_norm': 0.10948352515697479, 'learning_rate': 1.9673667836025284e-05, 'epoch': 0.35}
{'loss': 0.8875, 'grad_norm': 0.13732139766216278, 'learning_rate': 1.9668617050450604e-05, 'epoch': 0.35}
{'loss': 0.8918, 'grad_norm': 0.1379217803478241, 'learning_rate': 1.9663528136263246e-05, 'epoch': 0.35}
{'loss': 0.8706, 'grad_norm': 0.14087945222854614, 'learning_rate': 1.9658401113531567e-05, 'epoch': 0.35}
{'loss': 0.883, 'grad_norm': 0.13325734436511993, 'learning_rate': 1.9653236002474202e-05, 'epoch': 0.35}
{'loss': 0.8898, 'grad_norm': 0.1482609212398529, 'learning_rate': 1.9648032823459996e-05, 'epoch': 0.35}
{'loss': 0.8876, 'grad_norm': 0.1277950555086136, 'learning_rate': 1.9642791597007903e-05, 'epoch': 0.35}
{'loss': 0.8661, 'grad_norm': 0.13276612758636475, 'learning_rate': 1.963751234378694e-05, 'epoch': 0.36}
{'loss': 0.8861, 'grad_norm': 0.14297211170196533, 'learning_rate': 1.9632195084616065e-05, 'epoch': 0.36}
{'loss': 0.8841, 'grad_norm': 0.13609927892684937, 'learning_rate': 1.962683984046412e-05, 'epoch': 0.36}
{'loss': 0.8931, 'grad_norm': 0.12621888518333435, 'learning_rate': 1.9621446632449744e-05, 'epoch': 0.36}
{'loss': 0.8714, 'grad_norm': 0.13251201808452606, 'learning_rate': 1.9616015481841293e-05, 'epoch': 0.36}
{'loss': 0.8821, 'grad_norm': 0.11634241044521332, 'learning_rate': 1.961054641005674e-05, 'epoch': 0.36}
{'loss': 0.8707, 'grad_norm': 0.12676842510700226, 'learning_rate': 1.9605039438663614e-05, 'epoch': 0.36}
{'loss': 0.8849, 'grad_norm': 0.14859813451766968, 'learning_rate': 1.9599494589378892e-05, 'epoch': 0.36}
{'loss': 0.8686, 'grad_norm': 0.14060619473457336, 'learning_rate': 1.959391188406893e-05, 'epoch': 0.37}
{'loss': 0.8771, 'grad_norm': 0.12253697216510773, 'learning_rate': 1.958829134474937e-05, 'epoch': 0.37}
{'loss': 0.8873, 'grad_norm': 0.13701847195625305, 'learning_rate': 1.9582632993585055e-05, 'epoch': 0.37}
{'loss': 0.8815, 'grad_norm': 0.15330253541469574, 'learning_rate': 1.9576936852889937e-05, 'epoch': 0.37}
{'loss': 0.8841, 'grad_norm': 0.13393834233283997, 'learning_rate': 1.9571202945126995e-05, 'epoch': 0.37}
{'loss': 0.8605, 'grad_norm': 0.1329479217529297, 'learning_rate': 1.9565431292908146e-05, 'epoch': 0.37}
{'loss': 0.8858, 'grad_norm': 0.12162576615810394, 'learning_rate': 1.955962191899415e-05, 'epoch': 0.37}
{'loss': 0.8718, 'grad_norm': 0.14402884244918823, 'learning_rate': 1.9553774846294532e-05, 'epoch': 0.37}
{'loss': 0.8896, 'grad_norm': 0.11498042941093445, 'learning_rate': 1.9547890097867466e-05, 'epoch': 0.37}
{'loss': 0.8838, 'grad_norm': 0.15238557755947113, 'learning_rate': 1.954196769691973e-05, 'epoch': 0.38}
{'loss': 0.8892, 'grad_norm': 0.1441354751586914, 'learning_rate': 1.9536007666806555e-05, 'epoch': 0.38}
